맨홀명,관저고,유입관저고(낙차맨홀만),X,Y,거리,비고,분기정보
M-002-1,0.15,,175675.492,417335.845,,오수 2공구,
M-002-2,-0.1,,175619.957,417401.831,,오수 2공구,
M-002-3,-0.35,,175553.44,417459.464,,오수 2공구,
M-002-4,-0.6,,175475.442,417517.228,,오수 2공구,
M-002-5,-0.87,,175421.19,417583.305,,오수 2공구,
M-003-1,-1.12,,175349.678,417650.66,,오수 2공구,
M-003-2,-1.35,,175286.224,417707.771,,오수 2공구,
M-003-2-1,-1.73,,175267.166,417774.64,,오수 2공구,
M-003-3,-1.49,,175162.733,417781.884,,오수 2공구,
M-005-1,0.96,,175321.019,418254.884,,오수 차집관로,
M1-125,4.21,,175984.638,417034.514,56.17,오수 3공구,
M1-126,3.72,,175943.034,417072.249,,오수 3공구,
M1-127,3,,175930.236,417087.908,65,오수 3공구,
M1-128,1.92,,175882.09,417131.578,60,오수 3공구,
M1-129,1.27,,175837.648,417171.888,60,오수 3공구,
M1-130,1.09,,175793.206,417212.198,,오수 3공구,
M1-152,-0.02,,174051.598,418017.185,,오수 1공구,
M1-153,-0.29,,174124.778,418000.781,,오수 1공구,
M1-154,-0.55,,174197.325,417981.773,,오수 1공구,
M1-155,-0.81,,174269.147,417960.187,,오수 1공구,
M1-156,-1.07,,174340.152,417936.049,,오수 1공구,
M1-157,-1.34,,174410.25,417909.39,,오수 1공구,
M1-158,-1.6,,174479.352,417880.245,,오수 1공구,
M1-159,-1.84,,174542.869,417850.832,70.35,오수 1공구,
M1-160,-2.09,,174604.881,417819.575,69.79,오수 1공구,
M1-162,2.99,,174687.917,417766.609,,오수 1공구,
M1-163,2.96,,174695.28,417769.241,,오수 1공구,
M1-164,2.75,,174746.523,417738.034,60.3,오수 1공구,
M1-204,1.54,,176559.27,417665.706,70,오수 3공구,
M1-205,0.93,,176507.422,417712.734,69.5,오수 3공구,
M1-206,0.05,,176455.943,417759.427,50,오수 3공구,
M1-207,-0.56,,176411.826,417710.788,50,오수 3공구,
M1-208,-0.66,,176381.873,417826.611,51,오수 3공구,
M1-209,-0.76,,176344.098,417860.875,65,오수 3공구,
M1-246,1.1,,176471.129,417803.706,,오수 3공구,
M1-251,1.04,,176484.832,417791.277,67,오수 3공구,
M1-252,0.8,,176421.502,417848.719,,오수 3공구,
M1-262,-1.05,,,,,오수 별칭/추적/보간,
M1-262-1,-1.26,,,,65.43,오수 별칭/추적/보간,
M1-262-2,-1.47,,,,64.27,오수 별칭/추적/보간,
M1-273,2.28,,176155.296,417427.964,,오수 3공구,
M1-274,2.09,,176099.743,417478.352,,오수 3공구,
M1-275,1.9,,176044.191,417528.74,,오수 3공구,
M1-289,-1.28,,175312.013,417915.258,,오수 1공구,
M1-293,3.42,,176074.828,417561.029,,오수 3공구,
M1-296,3.39,,176180.907,417326.644,61.83,오수 3공구,
M1-297,3.2,,176126.341,417293.171,,오수 3공구,
M1-298,3.22,,176081.691,417237.857,,오수 3공구,
M1-301,2.53,,175986.558,417365.709,69.04,오수 3공구,
M1-320,2.55,,175480.473,418100.129,60.57,오수 1공구,
M1-325,2.18,,175435.606,418140.825,,오수 1공구,
M1-326,1.11,,175416.829,418161.906,60,오수 1공구,
M1-327,1.04,,175372.387,418202.217,59.36,오수 1공구,
M1-328,0.97,,175328.421,418242.096,,오수 1공구,
M1-45,3.1,,176862.459,417999.97,70,오수 3공구,
M1-46,2.75,,176810.61,418046.999,69.5,오수 3공구,
M1-47,2.27,,176759.132,418093.692,60,오수 3공구,
M1-48,1,,176714.69,418134.002,60,오수 3공구,
M1-49,0.81,,176670.248,418174.312,58.78,오수 3공구,
M1-68,-2.64,,175895.107,418877.39,,오수 1공구,
M1-75,2.65,,176780.499,418025.709,70,오수 3공구,
M1-76,2.36,,176728.65,418072.737,70,오수 3공구,
M1-77,1.11,,176676.801,418119.766,70,오수 3공구,
M1-97,-2.49,,175870.921,418850.725,,오수 1공구,
M2-1,-1.68,,176789.48,418541.685,,오수 2공구,
M2-131,0.96,,175754.723,417237.652,,오수 2공구,
M2-132,0.84,,175738.194,417258.045,,오수 2공구,
M2-133,0.66,,175687.107,417304.384,60,오수 2공구,
M2-134,0.48,,175642.665,417344.694,62.38,오수 2공구,
M2-135,0.29,,175596.451,417386.596,,오수 2공구,
M2-136,0.23,,175583.605,417402.312,,오수 2공구,
M2-137,-0.1,,175530.258,417450.701,,오수 2공구,
M2-138,-0.33,,175472.691,417498.866,,오수 2공구,
M2-139,-0.55,,175417.138,417549.254,70,오수 2공구,
M2-140,-0.76,,175366.135,417599.565,,오수 2공구,
M2-140-1,-0.84,,175342.174,417611.848,,오수 2공구,
M2-141,-0.97,,175306.566,417644.147,68.16,오수 2공구,
M2-166,-0.17,,174846.265,417671.271,64.88,오수 2공구,
M2-167,-0.25,,174890.356,417725.636,69.99,오수 2공구,
M2-168,-0.33,,174934.044,417780.326,69.99,오수 2공구,
M2-169,-0.41,,174978.926,417837.71,,오수 2공구,
M2-170,-0.43,,174993.583,417851.581,,오수 2공구,
M2-171,-0.49,,175022.02,417887.939,,오수 1공구,
M2-176,-1.4,,175239.816,417666.509,,오수 1공구,
M2-177,2.59,,174558.212,417255.262,,오수 2공구,
M2-178,2.37,,174582.486,417326.003,,오수 2공구,
M2-179,2.14,,174623.728,417388.445,,오수 2공구,
M2-18,2.17,,,,,오수 오수맨홀(2공구),
M2-180,1.92,,174669.934,417447.522,,오수 2공구,
M2-181,1.69,,174716.14,417506.598,,오수 2공구,
M2-182,1.12,1.47,174762.346,417565.674,,오수 2공구,
M2-183,0.91,,174805.472,417620.812,70,오수 2공구,
M2-19,1.98,,,,57.81,오수 별칭/추적/보간,
M2-210,-0.92,,176295.952,417904.544,66.93,오수 2공구,
M2-211,-1.09,,176246.378,417949.509,,오수 2공구,
M2-212,-1.17,,176219.126,417970.177,,오수 2공구,M2-211:in:-1.17;M2-235:in:-0.43;M2-213:out:-1.17
M2-213,-1.43,,176163.999,418020.179,,오수 2공구,
M2-214,-1.5,,176151.201,418035.838,,오수 2공구,
M2-215,-1.77,,176095.648,418086.226,,오수 2공구,
M2-216,-2.03,,176040.096,418136.614,70,오수 2공구,
M2-217,-2.26,,175988.247,418183.642,68.57,오수 2공구,
M2-218,-2.5,,175937.454,418229.713,56.46,오수 2공구,M2-217:in:-2.51;M2-239:in:0.87;M2-219:out:-2.51
M2-223,0.16,,,,,오수 별칭/추적/보간,
M2-226,-4.46,,175591.918,418543.126,,오수 1공구,
M2-233,3.05,,176075.718,417812.07,,오수 2공구,
M2-233-1,2.9,,176089.366,417831.583,,오수 2공구,
M2-234,2.19,2.69,176120.524,417865.934,,오수 2공구,
M2-234-1,2.08,,176150.058,417898.495,,오수 2공구,
M2-235,1.56,2.06,176165.716,417911.293,,오수 2공구,
M2-236,2.38,,175778.593,418054.57,,오수 2공구,
M2-237,1.98,,175818.904,418099.012,60,오수 2공구,
M2-238,1.56,,175859.214,418143.454,60,오수 2공구,
M2-239,1.14,,175899.524,418187.896,60,오수 2공구,
M2-253,0.54,,176365.95,417899.107,,오수 2공구,
M2-254,0.28,,176310.398,417949.495,54.5,오수 2공구,
M2-255,0.09,,176272.252,417984.094,,오수 2공구,
M2-255-02,-0.38,,176366.958,418088.508,,오수 2공구,
M2-255-03,-0.18,,176324.991,418042.239,53.63,오수 2공구,
M2-255-05,0.02,,176286.812,418000.13,56.78,오수 2공구,
M2-255-07,-0.44,,176378.081,418105.22,,오수 2공구,
M2-263,-0.85,,175997.068,418340.062,,오수 2공구,
M2-263-1,-0.89,,176027.066,418373.914,,오수 2공구,
M2-263-2,-0.96,,176041.849,418387.671,,오수 2공구,
M2-264,-0.55,,175966.8,418306.749,,오수 2공구,
M2-264-1,-0.47,,175955.585,418289.92,,오수 2공구,
M2-265,-0.42,,175946.344,418279.703,75,오수 2공구,
M2-266,-0.18,,175890.792,418330.091,,오수 2공구,
M2-267,0.06,,175835.239,418380.479,,오수 2공구,
M2-268,0.3,,175779.687,418430.866,60,오수 2공구,
M2-268-01,0.86,,,,,오수 오수맨홀(2공구),
M2-268-02,0.81,,,,,오수 오수맨홀(2공구),
M2-268-04,0.57,,,,,오수 오수맨홀(2공구),
M2-268-05,0.5,,175735.245,418471.177,,오수 2공구,
M2-276,1.72,,175988.639,417579.128,,오수 2공구,
M2-277,1.55,,175940.493,417622.797,44.5,오수 2공구,M2-276:in:1.55;M2-295:in:2.76;M2-278:out:1.55
M2-278,1.44,,175903.542,417582.059,55,오수 2공구,
M2-279,1.34,,175867.728,417547.04,50,오수 2공구,
M2-280,0.85,,175836.956,417508.648,49.11,오수 2공구,M2-311:in:0.88;M2-303-2:in:1.79;M2-279:in:1.23;M2-280-1:out:0.85
M2-280-1,0.62,,175797.92,417544.054,,오수 2공구,
M2-281,0.55,,175781.403,417559.035,,오수 2공구,
M2-281-1,0.33,,175758.306,417578.736,,오수 2공구,
M2-281-2,0.18,,175744.343,417593.298,,오수 2공구,
M2-282,0,,175724.35,417607.39,,오수 2공구,
M2-283,-0.25,,175659.241,417644.49,73,오수 2공구,
M2-284,-0.37,,175592.746,417679.116,,오수 2공구,
M2-285,-0.5,,175556.433,417703.252,,오수 2공구,
M2-286,-0.72,,175481.923,417763.244,,오수 2공구,M2-286-01:in:-0.74;M2-313:in:1.45;M2-287:out:-0.72
M2-286-01,-0.58,,175509.801,417741.933,62.01,오수 2공구,
M2-287,-0.91,,175431.022,417809.412,68.65,오수 2공구,
M2-287-1,-0.96,,175418.223,417825.071,,오수 2공구,
M2-288,-1.09,,175377.626,417861.821,,오수 2공구,
M2-294,3.16,,176019.276,417611.417,66,오수 2공구,
M2-295,2.92,,175970.39,417655.758,,오수 2공구,
M2-302,2.28,,175940.447,417418.828,,오수 2공구,
M2-303,2.04,,175888.598,417465.856,70,오수 2공구,
M2-303-1,1.94,,175869.566,417483.118,,오수 2공구,
M2-303-2,1.87,,175852.736,417494.333,67,오수 2공구,
M2-304,2.86,,175808.84,417400.312,,오수 2공구,
M2-305,2.74,,175806.818,417341.46,,오수 2공구,
M2-306,1.73,,175778.672,417366.99,45,오수 2공구,M2-305:in:2.58;M2-304:in:2.74;M2-309:out:-1.73
M2-307,2.58,,,,45,오수 별칭/추적/보간,
M2-308,2.11,,175705.966,417364.232,50.89,오수 2공구,
M2-309,1.57,,175740.155,417401.926,73,오수 2공구,M2-306:in:1.57;M2-308:in:1.92;M2-311:out:1.57
M2-310,1.57,,175766.979,417476.152,,오수 2공구,
M2-311,1.12,,175789.2,417455.997,71.08,오수 2공구,M2-309:in:1.32;M2-310:in:1.42;M2-280:out:1.12
M2-312,2.16,,175384.503,417655.81,,오수 2공구,
M2-313,1.9,,175434.891,417711.362,69.97,오수 2공구,
M2-314,3.69,,175682.629,417916.767,48.5,오수 2공구,
M2-316,3.46,,175644.689,417947.129,,오수 2공구,
M2-317,3.38,,175589.562,417997.131,,오수 2공구,
M2-318,2.8,3.35,175576.764,418012.79,65,오수 2공구,
M2-319,2.63,2.73,175528.618,418056.459,,오수 2공구,
M2-458,-1.18,,175257.146,417688.972,49.24,오수 2공구,
M2-459,-1.42,-1.33,175226.65,417722.033,,오수 2공구,
M2-50,0.7,,176626.713,418213.8,60,오수 2공구,
M2-50-1,1.78,,176628.689,418215.983,,오수 2공구,
M2-52,0.55,,176582.27,418254.11,43.57,오수 2공구,
M2-53,0.37,0.44,176552.529,418281.086,,오수 2공구,
M2-53-1,2.14,,176554.545,418283.309,,오수 2공구,
M2-55,0.37,,176470.78,418354.899,,오수 2공구,
M2-60,-1.5,,176271.257,418535.872,71.54,오수 2공구,
M2-61,-1.8,,176218.283,418583.922,,오수 2공구,
M2-62,-1.64,,176190.223,418609.711,66,오수 2공구,
M2-62-01,1.1,1.11,176192.238,418611.933,,오수 2공구,
M2-62-02,-2.05,,176198.245,418602.434,,오수 2공구,M2-91:in:-1.87;M2-61:in:-1.95;M2-62:in:-1.65;M3-455:out:-2.05
M2-63,-1.35,,176141.337,418654.052,40.93,오수 2공구,
M2-64,-1.01,,176088.059,418702.376,,오수 2공구,
M2-64-01,-1.13,,176111.02,418681.549,,오수 2공구,
M2-67,-2.36,,175941.348,418835.448,62.43,오수 2공구,
M2-78,0.87,,176624.952,418166.794,70,오수 2공구,
M2-78-1,2.13,,176622.959,418164.626,,오수 2공구,
M2-79,0.62,,176573.103,418213.823,71.5,오수 2공구,
M2-79-1,1.9,,176571.087,418211.6,,오수 2공구,
M2-80,-0.58,,176405.405,418135.361,60,오수 2공구,
M2-81,-0.78,,176445.715,418179.803,60,오수 2공구,
M2-82,-0.98,,176486.025,418224.245,50.78,오수 2공구,
M2-83,-1.18,,176520.143,418261.859,,오수 2공구,M2-79:in:0.37;M2-82:in:-1.18;M2-84:out:-1.18
M2-84,-1.33,,176500.312,418280.184,71.43,오수 2공구,M2-85:in:-1.25;M2-83:in:-1.33;M3-54:out:-1.33
M2-85,-1,,176447.24,418327.985,,오수 2공구,
M2-89,-1,,176279.011,418484.887,,오수 2공구,
M2-89-1,-1.07,,176264.043,418498.539,,오수 2공구,
M2-89-2,-1.13,,176247.161,418509.725,,오수 2공구,
M2-90,-1.23,,176225.146,418529.693,,오수 2공구,
M2-91,-1.72,,176174.237,418575.608,71.43,오수 2공구,M2-262-2:in:-1.72;M2-91-1:in:-1.49;M2-92:in:-1.69;M2-62-02:out:-1.72
M2-91-1,-1.38,,176194.352,418557.625,,오수 2공구,
M2-92,-1.46,,176118.685,418625.995,,오수 2공구,
M2-93,-1.23,,176063.109,418676.329,61.44,오수 2공구,
M2-93-1,0.63,,176061.094,418674.107,,오수 2공구,
M2-94,-1,,176017.635,418717.651,,오수 2공구,
M2-94-1,0.66,,176015.619,418715.429,,오수 2공구,
M2-96,-2.6,,175915.625,418806.127,,오수 2공구,
M2-96-1,-2.74,,175894.705,418825.101,,오수 2공구,
M2-96-2,-2.79,,175881.907,418840.76,,오수 2공구,
M2-B-10,-0.65,,176693.036,418675.741,,오수 2공구,
M2-B-11,-0.5,,176748.588,418625.353,,오수 2공구,
M2-B-12,-0.35,,176804.14,418574.965,,오수 2공구,
M2-B-3,-2.31,,176318.242,419015.691,,오수 2공구,
M2-B-4,-1.98,,176367.128,418971.349,66,오수 2공구,
M2-B-5,-1.61,,176422.681,418920.962,,오수 2공구,
M2-B-6,-1.23,,176478.233,418870.574,,오수 2공구,
M2-B-7,-1.09,,176530.082,418823.545,70,오수 2공구,
M2-B-8,-0.95,,176581.931,418776.517,70,오수 2공구,
M3-10,-3.35,,176362.152,418929.285,66.61,오수 2공구,
M3-11,-3.42,,176312.814,418974.036,65,오수 2공구,
M3-12,-3.49,,176264.669,419017.706,60,오수 2공구,
M3-13,-3.56,,176220.227,419058.016,60,오수 2공구,
M3-14,-3.63,,176175.785,419098.326,,오수 2공구,
M3-15,-1.99,,176623.262,418420.201,62.32,오수 2공구,
M3-16,-2.08,,176663.572,418464.643,,오수 2공구,
M3-16-1,-2.14,,176703.882,418509.085,,오수 2공구,
M3-17,-2.16,,176719.483,418521.836,,오수 2공구,
M3-2,-2.26,-1.81,176758.948,418565.329,,오수 2공구,M2-1:in:-1.81;M3-17:in:-2.26;M3-3:out:-2.26
M3-219,-2.77,,175889.309,418273.383,65,오수 2공구,
M3-220,-3.03,,175841.163,418317.052,65,오수 2공구,
M3-221,-3.29,,175793.018,418360.722,60,오수 2공구,
M3-222,-3.53,,175748.576,418401.032,57,오수 2공구,
M3-223,-3.76,,175706.356,418439.327,55,오수 2공구,
M3-224,-4.01,,175665.618,418476.278,50,오수 2공구,
M3-225,-4.23,,175628.583,418509.87,49.5,오수 2공구,
M3-3,-2.36,,176704.561,418614.658,,오수 2공구,
M3-4,-2.39,,176691.763,418630.318,,오수 2공구,
M3-454,-2.37,,176289.267,418702.428,65,오수 2공구,
M3-454-1,-2.57,,176339.655,418757.98,,오수 2공구,
